,"link","webpage_url","title","y","query","view_count","like_count","dislike_count","average_rating","subscriber_count","description","categories","tags","upload_date","tempo_desde_pub","channel_url","thumbnail","width","height","resolution","fps","p"
160,"watch?v=_m0UanRL6FE","https://www.youtube.com/watch?v=_m0UanRL6FE","PYTHON ou R para Data Science?",0,"data+science",1,147,2,4.9729729,5310,"Qual a melhor linguagem para ","['Science & Technology']",,"2020-11-11",6,"http://www.youtube.com/channel/UCxaCu5ht7d3jvisTpiW6vxw","https://i.ytimg.com/vi_webp/_m0UanRL6FE/maxresdefault.webp",1920,1080,,24,0.541
179,"watch?v=1x9xGVRs-5E","https://www.youtube.com/watch?v=1x9xGVRs-5E","Hands-On Training In AI with Data Science",1,"data+science",4,114,5,4.8319325,14600,,"['Entertainment']",,"2020-11-04",13,"http://www.youtube.com/channel/UCF2_gALht1C1NsAm3fmFLsg","https://i.ytimg.com/vi/1x9xGVRs-5E/maxresdefault.jpg?v=5fa28f71",1280,720,,30,0.511
191,"watch?v=PYap8CU0VaA","https://www.youtube.com/watch?v=PYap8CU0VaA","Linux on the Desktop for the Data Science (with a Lenovo ThinkPad P53)",0,"data+science",1,52,,5,41700,"Most ","['Science & Technology']","['linux', 'jeff heaton', 'data science', 'machine learning', 'ThinkPad', 'Lenovo']","2020-10-27",21,"http://www.youtube.com/channel/UCR1-GEpyOPzT2AO4D_eifdw","https://i.ytimg.com/vi_webp/PYap8CU0VaA/maxresdefault.webp",1920,1080,,30,0.49
194,"watch?v=e4i_EGAa0gU","https://www.youtube.com/watch?v=e4i_EGAa0gU","How to get a job after learning data science skills",0,"data+science",5,391,6,4.9395466,190000,"Many times people complain that we have learnt necessary ","['Education']","['yt:cc=on', 'how to get a job as data scientist', 'how to get a job as a freshman', 'how to get a job as a fresher', 'how to get data scientist job as a fresher', 'data science', 'data analyst job', 'how to become a data scientist', 'data scientist job', 'How to get data scientist job', 'data scientist jobs tips', 'data scientist career', 'data scientist job tips', 'data science job tips', 'data science career tips']","2020-10-25",23,"http://www.youtube.com/channel/UCh9nVJoWXmFb7sLApWGcLPQ","https://i.ytimg.com/vi_webp/e4i_EGAa0gU/maxresdefault.webp?v=5f968457",3840,2160,,30,0.496
207,"watch?v=Tm0YyhAOOok","https://www.youtube.com/watch?v=Tm0YyhAOOok","free course with certificate | Microsoft free ai classroom training | data science | ml | AI",0,"data+science",63,2257,64,4.8897028,47100,"free course with certificate | Microsoft free ai classroom training | ","['Science & Technology']","['free course', 'free certificate', 'free course with certificate', 'ai', 'ml', 'data science', 'artificial intelligence', 'machine learning', 'machine learning free course', 'machine learning free course with certificate', 'Microsoft', 'Microsoft free certificate', 'Microsoft internship', 'Microsoft free training', 'how to become data scientist', 'free government online courses', 'free microsoft trainings', 'Free government certificate', 'computer science', 'Python', 'Fresher hiring', 'cse', 'amazon']","2020-10-18",30,"http://www.youtube.com/channel/UCNr_dWKxRanxFUe3Gcr2NOQ","https://i.ytimg.com/vi_webp/Tm0YyhAOOok/maxresdefault.webp",1280,720,,30,0.529
216,"watch?v=L6jtpFE7c6I","https://www.youtube.com/watch?v=L6jtpFE7c6I","Combining data science and sports science, with Benfica's head of data science. (Part 1)",1,"data+science",1,50,2,4.9215684,7270,"Sudarshan Gopaladesikan, Head of Sports ","['Education']",,"2020-10-14",34,"http://www.youtube.com/channel/UCUBFJYcag8j2rm_9HkrrA7w","https://i.ytimg.com/vi/L6jtpFE7c6I/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBp9oE6vXfbHfwfsjofbMV4JpY9Ug",1920,1080,,25,0.476
218,"watch?v=d6FeV8WXPWY","https://www.youtube.com/watch?v=d6FeV8WXPWY","5 Unusual Data Science Projects that Will Land You a Job",1,"data+science",4,349,2,4.9772081,102000,"Ever wonder what stands out to a recruiter or a manager? These 5 projects are bound to turn heads. Some of these projects may ...","['People & Blogs']","['5 unusual data science projects that will land you a job', 'data science projects', 'data science for beginners', 'data science tips', 'data science project', 'data science student', 'data science projects for beginners in python', 'data science projects for beginners', 'Data Science', 'Ken Jee', 'data scientist', 'data science journey', 'data science 2020', 'data science project in python', 'data science portfolio', 'data science projects for resume', 'data analysis project', 'python projects']","2020-10-09",39,"http://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg","https://i.ytimg.com/vi_webp/d6FeV8WXPWY/maxresdefault.webp",3840,2160,,30,0.531
220,"watch?v=ZHck7X3GNfU","https://www.youtube.com/watch?v=ZHck7X3GNfU","Data Science and Sports Analytics with Ken Jee | 365 Data Use Cases",1,"data+science",2,91,5,4.7916665,144000,"Follow Ken's Youtube Channel: ✅https://www.youtube.com/c/KenJee1/ Find Ken on LinkedIn: ...","['Education']","['data science', '365 datascience', '365datascience', '365 data science', 'sports analytics', 'sports analytics examples', 'sports analyst', 'sports data analyst', 'data science in sports', 'fantasy sports', 'prediction models', 'data tracking', 'ken jee', 'data use cases', 'data science use cases', 'moneyball michael lewis', 'sport analytics', 'what is sports analytics', 'how to become a sports analyst', 'data science storytelling', 'sports statistics', 'data science sports']","2020-10-08",40,"http://www.youtube.com/channel/UCEBpSZhI1X8WaP-kY_2LLcg","https://i.ytimg.com/vi_webp/ZHck7X3GNfU/maxresdefault.webp",1920,1080,,30,0.493
221,"watch?v=IuBke7FV80U","https://www.youtube.com/watch?v=IuBke7FV80U","Fake News Detection using Data Science/Machine Learning | Masterclass | Tathastu",1,"data+science",130,9,,5,1080,"Fake News is one of the basic challenges of our society, we still don't know perfect solution to it, many new solutions to come and ...","['Education']",,"2020-10-08",40,"http://www.youtube.com/channel/UCDFXS-h-g8_Bl9ShcmYOhGQ","https://i.ytimg.com/vi/IuBke7FV80U/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAf_jYHSjpppcUof8O7mYUZZLhZ9w",1920,1080,,25,0.469
223,"watch?v=R-cUdDiGuyI","https://www.youtube.com/watch?v=R-cUdDiGuyI","Data Science Free Course | Free DataScience Certification by IBM",1,"data+science",47,12,,5,,"FREE ","['Education']","['data science', 'data scientist', 'what is data science', 'free data science courses', 'free data science courses online', 'free courses for data science', 'data science for beginners', 'data science courses for free', 'free data science certificate courses', 'cognitive classes', 'free courses in data science and machine learning', 'free courses for jobs', 'free courses in data science for jobs', 'best courses for data science', 'how to become data scientist for free', 'learn data science']","2020-10-08",40,"http://www.youtube.com/channel/UCIMbw_iI-POdaOW4wkUaPYA","https://i.ytimg.com/vi_webp/R-cUdDiGuyI/maxresdefault.webp",1280,720,,30,0.469
